pair_index,scene,source_id,target_id,method,num_correspondences,putative_inlier_ratio,rotation_error_deg,translation_error,success,runtime_seconds,mean_hops,best_hops,effective_rank,regeneration_updates,regenerated_correspondences,subsample_seconds,graph_seconds,seed_seconds,search_seconds,refinement_seconds,regeneration_seconds
194,gazebo_winter,24,0,a0_base_graph,2000,0.0,178.96395680534044,2.594311351351561,False,0.575027222000017,1.0,1.0,1.368803457685395,,,3.767600014725758e-05,0.04387250700006,0.4885184009999648,0.0314247239998621,0.0110838450000301,
194,gazebo_winter,24,0,a1_dual_seeds,2000,0.0,178.96395680534044,2.594311351351561,False,0.538766848000023,1.0,1.0,1.368803457685395,,,4.048799996780872e-05,0.046667786999933,0.4485252720000972,0.0322272339999472,0.0112052980000498,
194,gazebo_winter,24,0,a2_second_order,2000,0.0,179.1387191192455,2.564954694902584,False,0.5751935000000685,1.0,1.0,1.1972048633596368,,,4.442599993126351e-05,0.0958499559999381,0.4366896219999034,0.0314646459999039,0.0110521770000104,
194,gazebo_winter,24,0,a3_adaptive_expand,2000,0.0,179.19846993910056,2.5570114019663825,False,0.7262437760000466,1.7916666666666667,2.0,1.1972048633596368,,,4.076499999428052e-05,0.1092116849999911,0.5176075059998766,0.0837231220000376,0.0155328200000894,
194,gazebo_winter,24,0,a4_distribution_rank,2000,0.0,179.19846993910056,2.5570114019663825,False,0.7007651480000732,1.7916666666666667,2.0,1.1972048633596368,,,5.720500007555529e-05,0.1164690989999144,0.5105456920000506,0.0624327139998968,0.011164934999897,
194,gazebo_winter,24,0,a5_regeneration,2000,0.0,178.9814751512918,2.5321594819288054,False,0.8531448100000034,1.7916666666666667,2.0,1.1972048633596368,6.0,10683.0,4.1610999915064895e-05,0.0962111999999706,0.4394552169999315,0.0614349229999788,0.0110061499999574,0.2449033509999481
195,gazebo_winter,25,0,a0_base_graph,2000,0.0,179.57083356776215,1.3844131285660108,False,0.5734436509999341,1.0,1.0,1.40705715829915,,,3.522299994074274e-05,0.0457622090000313,0.4853019909999148,0.0309390950001215,0.0113054850000935,
195,gazebo_winter,25,0,a1_dual_seeds,2000,0.0,180.0,1.3720294235214714,False,0.5512967790000403,1.0,1.0,1.334296719302165,,,4.538600001069426e-05,0.0491414199998416,0.4614900159999706,0.0295780239998748,0.0109491629998501,
195,gazebo_winter,25,0,a2_second_order,2000,0.0,179.57319754451888,1.3874656426615095,False,0.6021988709999277,1.0,1.0,1.4361965002241692,,,4.146300011598214e-05,0.0967506730000877,0.4628683680000449,0.0311487650001254,0.0112949750000552,
195,gazebo_winter,25,0,a3_adaptive_expand,2000,0.0,179.51813942804324,1.4005668049879654,False,0.6287413160000597,1.6875,2.0,1.4508652787067704,,,4.089699996256968e-05,0.0975283579998631,0.4599634759999844,0.0598956659998748,0.0112196769998718,
195,gazebo_winter,25,0,a4_distribution_rank,2000,0.0,179.51813942804324,1.4005668049879654,False,0.6316168749999633,1.6875,2.0,1.4508652787067704,,,4.16069999573665e-05,0.0970880229999693,0.4634751589999268,0.0599038039999868,0.0110158749998845,
195,gazebo_winter,25,0,a5_regeneration,2000,0.0,179.99329142756818,1.3969301829397058,False,0.8771022070000072,1.6875,2.0,1.4508652787067704,5.0,9796.0,4.349699997874268e-05,0.096207447000097,0.4607567499999732,0.0609083730000747,0.011104977000059,0.2479863009998553
196,gazebo_winter,26,0,a0_base_graph,2000,0.0,179.5885188193858,0.8607768440591597,False,0.5716073769999639,1.0,1.0,1.088401507096186,,,3.848599999400904e-05,0.0438459030001467,0.4874685060001411,0.0293192829999497,0.0108414679998531,
196,gazebo_winter,26,0,a1_dual_seeds,2000,0.0,179.40528527913347,1.4703527144656394,False,0.5220743959998799,1.0,1.0,1.292841175580909,,,3.976199991484464e-05,0.0419289359999766,0.4400173520000408,0.0292269499998383,0.0107719210000141,
196,gazebo_winter,26,0,a2_second_order,2000,0.0,179.58556837075446,0.8661488482553784,False,0.5743531079999684,1.0,1.0,1.088401507096186,,,4.272299997865048e-05,0.090591649000089,0.4425185269999474,0.0302397469999959,0.0108675110000149,
196,gazebo_winter,26,0,a3_adaptive_expand,2000,0.0,178.3598018659911,1.007935710864624,False,0.6051101989999097,1.7395833333333333,2.0,1.3869284054498825,,,3.876599998875463e-05,0.0905365910000455,0.4429632970000057,0.0601467470000898,0.0113231400000586,
196,gazebo_winter,26,0,a4_distribution_rank,2000,0.0,178.3598018659911,1.007935710864624,False,0.6042891880001662,1.7395833333333333,2.0,1.3869284054498825,,,4.118200013181195e-05,0.0938506869999855,0.4404286760000104,0.0590534289999595,0.0108227759999408,
196,gazebo_winter,26,0,a5_regeneration,2000,0.0,178.85544965757524,1.0343838760341653,False,0.9365125960000568,1.7395833333333333,2.0,1.3869284054498825,6.0,10443.0,4.216399997858389e-05,0.0905607049999162,0.4388191269999879,0.0604568379999364,0.0110835810000935,0.3354564090000167
197,gazebo_winter,27,0,a0_base_graph,2000,0.0,86.56165942152599,0.4361231587341498,False,0.5764932509998744,1.0,1.0,1.6312548479445164,,,3.612299997257651e-05,0.046463759000062,0.4861663429999225,0.0327395550000346,0.0109970799999246,
197,gazebo_winter,27,0,a1_dual_seeds,2000,0.0,85.84665674119357,0.4376665893921752,False,0.544253536000042,1.0,1.0,1.4755767123169048,,,4.0958999989015865e-05,0.047588246000032,0.45227579099992,0.032507269000007,0.0117435429999659,
197,gazebo_winter,27,0,a2_second_order,2000,0.0,86.56160041590098,0.4361200643233722,False,0.5956385070001033,1.0,1.0,1.6312548479445164,,,4.2511999936323264e-05,0.0955248459999893,0.4562315390001004,0.0319038799998452,0.0118373010000141,
197,gazebo_winter,27,0,a3_adaptive_expand,2000,0.0,89.2056178887106,0.6194642494633644,False,0.6253829889999452,1.7395833333333333,2.0,1.581831482122249,,,4.78019999263779e-05,0.0970920160000332,0.4531478669998705,0.0634349920001113,0.0115602480000234,
