pair_index,scene,source_id,target_id,method,num_correspondences,putative_inlier_ratio,rotation_error_deg,translation_error,success,runtime_seconds,mean_hops,best_hops,effective_rank,regeneration_updates,regenerated_correspondences,subsample_seconds,graph_seconds,seed_seconds,search_seconds,refinement_seconds,regeneration_seconds
892,sun3d-hotel_uc-scan3,11,2,sagereg_regen,300,0.46,3.0305378874216657,0.0826788856332287,True,0.1587980389999757,2.0,2.0,1.951447473789723,3.0,6576.0,1.1572999937925488e-05,0.0057536929998605,0.0390957720001097,0.0594216360000245,0.0075350110000727,0.0469367269997746
893,sun3d-hotel_uc-scan3,34,2,sagereg_regen,217,0.3502304147465437,4.574605751024205,0.2178602232725305,True,0.1509757169997101,1.9895833333333333,2.0,2.0235080502686804,6.0,6814.0,9.854999916569795e-06,0.0040506599998479,0.0228196339999158,0.0596669569999903,0.0068317299997033,0.0575494849999813
894,sun3d-hotel_uc-scan3,35,2,sagereg_regen,412,0.5,0.8237571825528645,0.0353115687063521,True,0.2170192570001745,2.0,2.0,2.226586116905526,4.0,9130.0,1.276500006497372e-05,0.0091163950000918,0.0656389099999614,0.061741942000026,0.0079899080001268,0.0724718239998765
895,sun3d-hotel_uc-scan3,43,2,sagereg_regen,250,0.392,2.3539116114966787,0.0895925801002459,True,0.1386028889996851,2.0,2.0,2.131756345987155,3.0,5578.0,9.730999863677424e-06,0.0041115720000561,0.0266560770000978,0.0563747559999683,0.0065845499998431,0.0448252910000519
896,sun3d-hotel_uc-scan3,44,2,sagereg_regen,400,0.745,1.9921336569519776,0.0789756435457923,True,0.1970220659995902,1.9583333333333333,2.0,2.073101826578227,4.0,6587.0,1.3386999853537418e-05,0.0083730639998975,0.0620612699999583,0.0607337269998424,0.0084709399998246,0.0573198089996367
897,sun3d-hotel_uc-scan3,45,2,sagereg_regen,518,0.6698841698841699,1.1649741264224076,0.0496070814883739,True,0.2414015790000121,2.0,2.0,1.91011323901973,3.0,8546.0,1.557299992782646e-05,0.0123402379999788,0.0992533519997778,0.0644728009997379,0.0094227429999591,0.055846418999863
898,sun3d-hotel_uc-scan3,46,2,sagereg_regen,382,0.518324607329843,4.035734939837012,0.1120269564119396,True,0.1959535579999283,2.0,2.0,2.0689011589784885,5.0,7128.0,1.2100999811082149e-05,0.0081399959999544,0.0601798130001043,0.0609783579998293,0.0083716509998339,0.0582238020001568
899,sun3d-hotel_uc-scan3,53,2,sagereg_regen,246,0.3780487804878049,3.555584908272816,0.075354100677986,True,0.1608104779998029,2.0,2.0,2.073198258597811,5.0,6439.0,9.760000011738155e-06,0.0045388579997052,0.0276513440003327,0.0587385479998374,0.0068659459998343,0.0629627029998118
900,sun3d-hotel_uc-scan3,54,2,sagereg_regen,529,0.7051039697542533,1.5840061529848617,0.0444332999776943,True,0.2421965070002443,2.0,2.0,2.1352183677877496,2.0,9260.0,1.6539000171178486e-05,0.0124106289999872,0.1064013390000582,0.0645308250000198,0.0098149909999847,0.048966448000101
901,sun3d-hotel_uc-scan3,10,3,sagereg_regen,482,0.6452282157676349,1.5093765815883602,0.0742193758383851,True,0.2293910670000514,2.0,2.0,2.504578091488869,4.0,6883.0,1.4986000223871088e-05,0.0109585740001421,0.0854281780002566,0.0642504669999652,0.0091244310001457,0.0595604519999142
902,sun3d-hotel_uc-scan3,35,3,sagereg_regen,418,0.5263157894736842,0.7187923434681,0.0391505996872423,True,0.2070709199997509,2.0,2.0,2.289796175394784,3.0,8788.0,1.2556000001495704e-05,0.0089284559999214,0.0663428130001193,0.0612794730000132,0.0082127919999948,0.0622464049997688
903,sun3d-hotel_uc-scan3,45,3,sagereg_regen,378,0.6878306878306878,2.2562987263015954,0.1224625832354986,True,0.1929325259998222,2.0,2.0,2.3123653103576225,5.0,7543.0,1.2556999990920303e-05,0.0077754950002599,0.0519032940001125,0.0609965349999583,0.0081220209999628,0.0640770329996485
904,sun3d-hotel_uc-scan3,54,3,sagereg_regen,239,0.4937238493723849,2.8493106719225105,0.1243061364045191,True,0.1404747230003522,1.9791666666666667,2.0,2.2202602365996817,4.0,6112.0,9.920000138663454e-06,0.0042074980001416,0.0226846229998045,0.0583391590002975,0.0070648289997734,0.0481227380000746
905,sun3d-hotel_uc-scan3,5,4,sagereg_regen,171,0.5555555555555556,1.1064687550487975,0.0342399311455592,True,0.1195586670000921,2.0,2.0,2.6110224888977576,6.0,4290.0,8.588999662606511e-06,0.0031131790001381,0.0138376999998399,0.060334222000165,0.0068641459997706,0.0353545990001293
906,sun3d-hotel_uc-scan3,6,4,sagereg_regen,145,0.1586206896551724,0.5799772646381995,0.0151729704266773,True,0.0918684349999239,1.9166666666666667,2.0,2.4079922042226585,2.0,3937.0,8.056999831751455e-06,0.0020624509998015,0.0092705759998352,0.0503745410001101,0.0056918929999483,0.0244213659998422
907,sun3d-hotel_uc-scan3,9,4,sagereg_regen,363,0.7052341597796143,1.267369588959515,0.0301702770607837,True,0.1889574709998669,2.0,2.0,1.890238554148387,5.0,6945.0,1.2162999610154657e-05,0.0077837909998379,0.0551329679997252,0.0612044650001735,0.0081165750002583,0.0566596799999388
908,sun3d-hotel_uc-scan3,10,4,sagereg_regen,310,0.5806451612903226,1.4951511199193974,0.0438099252528022,True,0.1511823549999462,1.9895833333333333,2.0,2.038632364997458,3.0,4412.0,1.1689000075421063e-05,0.0060016749998794,0.0390658520000215,0.0609861769999042,0.0078035850001469,0.03726616799986
