pair_index,pair_file,method,num_correspondences,putative_inlier_ratio,rotation_error_deg,translation_error,success,runtime_seconds,effective_rank,regeneration_updates,regenerated_correspondences
132,pair_132.npz,sagereg_regen,2000,0.9575,0.1011325670072986,0.0463361856548753,True,0.97376792400064,1.7349980808033902,5.0,32274.0
133,pair_133.npz,sagereg_regen,2000,0.361,0.1102701847924357,0.4635252712380805,True,0.9160307430011017,1.934290337288043,4.0,32045.0
134,pair_134.npz,sagereg_regen,2000,0.539,0.2005462618990082,0.4015494023252886,True,0.921136877997924,1.9521538848920543,4.0,34798.0
135,pair_135.npz,sagereg_regen,2000,0.5925,0.2107538426806815,0.3097695249027387,True,0.993093951001356,1.956689940509984,6.0,36911.0
136,pair_136.npz,sagereg_regen,2000,0.4525,0.2596917000042172,0.3207764615137435,True,1.0087912069993763,1.9995326600177528,6.0,38641.0
137,pair_137.npz,sagereg_regen,2000,0.2915,0.2479931494308208,0.4163900753839276,True,1.021860471000764,2.008186904453575,6.0,39063.0
138,pair_138.npz,sagereg_regen,2000,0.712,0.0818209628514444,0.0339868452907879,True,1.0053624020019925,1.970986067952459,5.0,37795.0
139,pair_139.npz,sagereg_regen,2000,0.82,0.0668487809239368,0.0559258879702608,True,1.0218288989999564,1.9637842487258377,5.0,38766.0
140,pair_140.npz,sagereg_regen,2000,0.8855,0.0615450787506256,0.103426776705226,True,1.0328102450002916,1.977804103413776,5.0,41726.0
141,pair_141.npz,sagereg_regen,2000,0.8595,0.2277370919834644,0.1050493708612014,True,1.043878880002012,1.9906228493514613,6.0,44265.0
142,pair_142.npz,sagereg_regen,2000,0.8515,0.130093178611675,0.0980134581888931,True,1.017380088000209,1.9146222857705169,6.0,38144.0
143,pair_143.npz,sagereg_regen,2000,0.0215,58.94226626927673,21.73839965954709,False,0.8191539330000523,1.5286979393863571,6.0,20845.0
144,pair_144.npz,sagereg_regen,2000,0.2285,0.1517427535018271,0.1647640394947585,True,0.9423441930011904,1.643140456772105,6.0,37795.0
145,pair_145.npz,sagereg_regen,2000,0.6125,0.127636261518426,0.0390922191793445,True,0.9233814799990796,1.4750217261438268,5.0,33651.0
146,pair_146.npz,sagereg_regen,2000,0.9585,0.109183482652923,0.1098816312486147,True,0.941210933997354,1.7509964330259271,5.0,30403.0
147,pair_147.npz,sagereg_regen,2000,0.957,0.1045890088301474,0.0791910306339593,True,0.9268962490023114,1.86988057424302,5.0,30037.0
