pair_index,pair_file,method,num_correspondences,putative_inlier_ratio,rotation_error_deg,translation_error,success,runtime_seconds,effective_rank,regeneration_updates,regenerated_correspondences
283,pair_283.npz,sagereg_regen,2000,0.0225,0.7141155120080754,0.1509623892760774,True,0.6978797340007077,1.3764593476139748,2.0,25684.0
284,pair_284.npz,sagereg_regen,2000,0.027,0.1520433525536013,0.0222921346769186,True,0.7018623140002092,1.723478488890082,4.0,23636.0
285,pair_285.npz,sagereg_regen,2000,0.0585,0.1406127144912814,0.0415736163743106,True,0.7431543120001152,1.5833817961618846,4.0,23167.0
286,pair_286.npz,sagereg_regen,2000,0.0485,0.1485551222806786,0.0181772136192798,True,0.7392554729999574,1.352314698224786,4.0,23362.0
287,pair_287.npz,sagereg_regen,2000,0.0665,0.1198189469653298,0.0293184857829286,True,0.7404899509997449,1.5926145994089067,4.0,23458.0
288,pair_288.npz,sagereg_regen,2000,0.055,0.0913630664778708,0.058422674634339,True,0.769600870999966,1.5305058063624235,4.0,24686.0
289,pair_289.npz,sagereg_regen,2000,0.0555,0.0840075955372147,0.0268557848684359,True,0.727998652000224,1.539392145122912,2.0,21788.0
290,pair_290.npz,sagereg_regen,2000,0.0705,0.1498409186409887,0.0459170494168611,True,0.7407700630001273,1.565316874912221,4.0,23320.0
291,pair_291.npz,sagereg_regen,2000,0.0555,0.1506145481810908,0.0151602098846814,True,0.7201361089992133,1.4892481131170945,4.0,25432.0
292,pair_292.npz,sagereg_regen,2000,0.055,0.0948691231506352,0.0209924196688162,True,0.7473119120004412,1.482179424234491,4.0,26187.0
293,pair_293.npz,sagereg_regen,2000,0.053,0.1532123150813011,0.0138364728123129,True,0.8086190750004789,1.6117021125003876,6.0,30204.0
294,pair_294.npz,sagereg_regen,2000,0.0385,0.1827187178747194,0.0229131622832513,True,0.7515753279994897,1.819055825248437,5.0,27420.0
295,pair_295.npz,sagereg_regen,2000,0.055,0.0985515620569543,0.0303250389802914,True,0.7613315409998904,1.879331138321372,6.0,22121.0
