pair_index,variant,rotation_error_deg,translation_error,success,runtime_seconds
224,hypotheses_30,57.477405320365584,0.8594387806267418,False,0.21325294900452718
224,motif_0,57.477824867335606,0.8594461527184957,False,0.20267261200206121
224,motif_075,57.477504618063655,0.8594405200707486,False,0.21095311799581395
224,motif_225,57.477310311896105,0.8594371057644348,False,0.2097145969964913
240,base,8.914776463048705,0.058176063267784614,True,0.07714488000056008
240,seeds_48,8.914776463048705,0.058176063267784614,True,0.04434554399631452
240,seeds_72,8.914776463048705,0.058176063267784614,True,0.060475907994259614
240,seeds_120,8.914776463048705,0.058176063267784614,True,0.09171418600453762
240,neighbors_24,8.905207497919456,0.058111421081800285,True,0.07413306999660563
240,neighbors_36,8.914785274624125,0.05817612148785504,True,0.0755692579987226
240,neighbors_72,8.914776463048705,0.058176063267784614,True,0.07591440599935595
240,hypotheses_5,3.095291408266784,0.029960314947701815,True,0.0715616029992816
240,hypotheses_10,8.914776463048705,0.058176063267784614,True,0.07352871899638558
240,hypotheses_30,8.914776463048705,0.058176063267784614,True,0.07927986199501902
240,motif_0,8.91480162994407,0.058176229195106545,True,0.07465292300184956
240,motif_075,8.914786255849101,0.05817612756420501,True,0.07617543100059265
240,motif_225,8.914770746064953,0.058176025738789536,True,0.0766199920035433
256,base,3.052997105505406,0.08881900382333778,True,0.18931230799353216
256,seeds_48,3.052997105505406,0.08881900382333778,True,0.09950948200275889
256,seeds_72,3.052997105505406,0.08881900382333778,True,0.14406645700364606
256,seeds_120,3.052997105505406,0.08881900382333778,True,0.21838276900234632
256,neighbors_24,3.064876816653957,0.0898183347830315,True,0.15124970699980622
256,neighbors_36,2.1049661281497576,0.068430646427953,True,0.172522922999633
256,neighbors_72,3.0511298521180668,0.08751823185842458,True,0.20529477200034307
256,hypotheses_5,3.052997105505406,0.08881900382333778,True,0.18244199399487115
256,hypotheses_10,3.052997105505406,0.08881900382333778,True,0.18505014400579967
256,hypotheses_30,3.052997105505406,0.08881900382333778,True,0.19271929099340923
256,motif_0,3.0594714542973294,0.08972983039433785,True,0.18123189700418152
256,motif_075,3.067338178259975,0.08983418446055168,True,0.18858211899350863
256,motif_225,3.051758697706251,0.08880983484802982,True,0.18846993199986173
272,base,165.8367964842177,3.889147242509485,False,0.1780789070035098
272,seeds_48,165.8367964842177,3.889147242509485,False,0.0930148779953015
272,seeds_72,165.8367964842177,3.889147242509485,False,0.13479850899602752
272,seeds_120,165.8367964842177,3.889147242509485,False,0.20453745900158538
272,neighbors_24,166.60191494805144,3.8868923970656293,False,0.13829098799760686
272,neighbors_36,165.83719179571193,3.889136917605073,False,0.16268218900222564
272,neighbors_72,173.49109888721014,3.8745427062620243,False,0.19080942499567755
272,hypotheses_5,76.44233799390601,2.2662026834422613,False,0.17242669699771795
272,hypotheses_10,165.8367964842177,3.889147242509485,False,0.1738413579951157
272,hypotheses_30,165.8367964842177,3.889147242509485,False,0.1808918770038872
272,motif_0,165.83679527476966,3.8891472775673814,False,0.16945128200313775
272,motif_075,165.83693070168567,3.889143493996072,False,0.17818194500432583
272,motif_225,165.83679658228846,3.8891472395222086,False,0.17818385399732506
288,base,137.10904669847443,2.972024574233315,False,0.16731568899558624
288,seeds_48,137.10904669847443,2.972024574233315,False,0.09162394199665869
288,seeds_72,137.10904669847443,2.972024574233315,False,0.13019809200341115
288,seeds_120,137.10904669847443,2.972024574233315,False,0.19421199900534702
288,neighbors_24,161.4474958595207,3.19997836139637,False,0.13576751899381634
288,neighbors_36,137.10817004590484,2.972097771986343,False,0.15729918999568326
288,neighbors_72,148.7716752838488,3.632518870356582,False,0.17025397100223927
288,hypotheses_5,137.10904669847443,2.972024574233315,False,0.1613593910005875
288,hypotheses_10,137.10904669847443,2.972024574233315,False,0.16311768800369464
288,hypotheses_30,137.10904669847443,2.972024574233315,False,0.17003212299459847
288,motif_0,161.43485948263995,3.200036052216692,False,0.15748855399579043
288,motif_075,137.1090154036398,2.972027816257876,False,0.16513846400630428
288,motif_225,137.10904274117885,2.972025067626227,False,0.1668587820022367
304,base,2.501835436609742,0.09438411774302853,True,0.2742147320022923
304,seeds_48,2.501835436609742,0.09438411774302853,True,0.15472840899747098
304,seeds_72,2.501835436609742,0.09438411774302853,True,0.21406624000519514
304,seeds_120,4.124720492348981,0.08681968564908757,True,0.3472687559988117
304,neighbors_24,4.170283946632002,0.0886701750653051,True,0.1993536179943476
304,neighbors_36,4.169757126163787,0.08864888715820567,True,0.24427641900547314
304,neighbors_72,6.771444242720396,0.17798833714442586,True,0.3276397170047858
304,hypotheses_5,2.501835436609742,0.09438411774302853,True,0.26883696200093254
304,hypotheses_10,2.501835436609742,0.09438411774302853,True,0.2701736320013879
304,hypotheses_30,2.501835436609742,0.09438411774302853,True,0.27861746800044784
304,motif_0,2.5019884190769095,0.09438564360314826,True,0.255384028001572
304,motif_075,2.5018351633623745,0.09438411781530451,True,0.2736326869999175
304,motif_225,3.4372505432687723,0.04905242930212101,True,0.27639144199929433
320,base,118.66282288929646,3.0408510399425044,False,0.20391718899918487
320,seeds_48,121.23640658037613,3.111216227207296,False,0.10552672100311611
320,seeds_72,118.66282288929646,3.0408510399425044,False,0.15243904999806546
320,seeds_120,118.66282288929646,3.0408510399425044,False,0.24585687900253106
320,neighbors_24,118.6766659986228,3.041171972701218,False,0.16021427299710922
320,neighbors_36,118.67974288165163,3.0412432500730184,False,0.18258542100375053
320,neighbors_72,118.67679155251317,3.0411748789047213,False,0.20930830400175182
320,hypotheses_5,121.23640658037613,3.111216227207296,False,0.19593214899941813
320,hypotheses_10,118.66282288929646,3.0408510399425044,False,0.19803261799825123
320,hypotheses_30,118.66282288929646,3.0408510399425044,False,0.2045776590020978
320,motif_0,118.67680485861206,3.0411751871513015,False,0.19152315799874486
320,motif_075,118.66284315273423,3.0408515100409987,False,0.2007498500024667
320,motif_225,118.66281322533484,3.0408508158779157,False,0.2024388740028371
336,base,172.82121770412996,3.7495886551452844,False,0.17333049100125208
336,seeds_48,176.94373643119002,5.691652563958836,False,0.08678221899754135
336,seeds_72,172.82121770412996,3.7495886551452844,False,0.12867171999823768
336,seeds_120,172.82121770412996,3.7495886551452844,False,0.20424416800233303
336,neighbors_24,169.95801332574277,3.023733583057946,False,0.14649243700114312
336,neighbors_36,172.82114223534035,3.7495932322973813,False,0.16688379699917277
336,neighbors_72,172.82107143837902,3.7495553229028142,False,0.1753611149979406
336,hypotheses_5,176.94233302024284,5.691635909597464,False,0.16807250199781265
336,hypotheses_10,176.94233302024284,5.691635909597464,False,0.16978538499824936
336,hypotheses_30,172.82121770412996,3.7495886551452844,False,0.1739687809968018
336,motif_0,176.9437588705,5.691652830459102,False,0.16649199999665143
336,motif_075,172.8212177977006,3.7495886376715943,False,0.17452167900046334
336,motif_225,172.82121772584185,3.7495886605490245,False,0.17194113999721594
352,base,163.66188614830526,1.6428576474138206,False,0.3111685719995876
352,seeds_48,163.66188614830526,1.6428576474138206,False,0.17743769100343343
352,seeds_72,163.66188614830526,1.6428576474138206,False,0.24308978200133424
352,seeds_120,163.66188614830526,1.6428576474138206,False,0.39091173999622697
352,neighbors_24,30.50388143453494,0.996074457430791,False,0.22541418299806537
352,neighbors_36,179.12874108134048,3.9702993783010196,False,0.2732567819984979
352,neighbors_72,163.6617069338848,1.642858840514417,False,0.3737153469992336
352,hypotheses_5,149.3368590693934,4.309854412368578,False,0.306134534002922
352,hypotheses_10,163.66188614830526,1.6428576474138206,False,0.3085558160018991
352,hypotheses_30,163.66188614830526,1.6428576474138206,False,0.3161686289968202
352,motif_0,164.6593689634517,1.6331678007718429,False,0.28359719100262737
